Customer_ID,Customer_Name,Region,Policy_Type,Total_Policy_Amt
198,Dr. Diana Thomas,All,Auto,16800000
587,Mr. Edward Anderson,All,Auto,16800000
500,Dr. Diana Thomas,All,Auto,16800000
1,Mrs. Aaron Wilson,All,Auto,16400000
23,Mr. Charles Taylor,All,Auto,16400000
271,Mrs. Rachel Kirby,All,Auto,16400000
225,Dr. Catherine Anderson,All,Auto,16400000
544,Mr. Nathan Thomas,All,Auto,16400000
204,Ms. Henry Dillon,All,Auto,16000000
409,Mrs. Nathan Dillon,All,Auto,16000000
36,Mr. Karen Williams,All,Auto,16000000
206,Ms. Karen Dillon,All,Auto,15600000
139,Mrs. Brian Jones,All,Auto,15600000
244,Professor Henry Johnson,All,Auto,15200000
596,Mr. Liam Harris,All,Auto,15200000
595,Mr. Charles Jones,All,Auto,15200000
386,Professor Bonnie Garcia,All,Auto,14800000
518,Mrs. Allison Thomas,All,Auto,14800000
570,Professor Samuel Jones,All,Auto,14400000
366,Ms. Liam Garcia,All,Auto,14400000
481,Mrs. Irene Tyson,All,Auto,14400000
106,Professor Gwendolyn Wilson,All,Auto,14400000
88,Ms. Allison Miller,All,Auto,14400000
84,Dr. Ursula Martin,All,Auto,14000000
591,Ms. Quinn Tyson,All,Auto,14000000
407,Mr. Olivia Williams,All,Auto,14000000
376,Dr. Quinn Jones,All,Auto,14000000
278,Mrs. Henry Tyson,All,Auto,14000000
165,Ms. Catherine Thomas,All,Auto,13600000
338,Dr. Yvonne Jackson,All,Auto,13600000
205,Dr. Liam Thomas,All,Auto,13600000
291,Mrs. Ursula Smith,All,Auto,13200000
346,Ms. Megan Dillon,All,Auto,13200000
416,Mrs. Samuel Johnson,All,Auto,13200000
190,Dr. Charles Brown,All,Auto,13200000
446,Professor Brian Jackson,All,Auto,12800000
486,Professor Edward White,All,Auto,12800000
93,Dr. Yvonne Thompson,All,Auto,12800000
82,Ms. Patrick Miller,All,Auto,12800000
163,Mrs. Nathan Brown,All,Auto,12800000
295,Ms. Victor Potter,All,Auto,12800000
213,Mr. Karen Dillon,All,Auto,12800000
14,Mr. Gwendolyn Tyson,All,Auto,12800000
565,Professor Megan Davis,All,Auto,12800000
535,Professor Gwendolyn Harris,All,Auto,12400000
111,Professor Allison Kirby,All,Auto,12400000
49,Dr. Ursula Thompson,All,Auto,12400000
209,Mr. Catherine Harris,All,Auto,12400000
317,Mr. James White,All,Auto,12400000
38,Professor Tina Dillon,All,Auto,12000000
403,Mrs. Xander Williams,All,Auto,12000000
515,Mrs. Victor Dillon,All,Auto,12000000
513,Professor Diana Garcia,All,Auto,12000000
55,Mr. Megan Potter,All,Auto,12000000
154,Ms. Karen Garcia,All,Auto,12000000
356,Dr. Karen Jones,All,Auto,12000000
35,Mrs. Gwendolyn Taylor,All,Auto,12000000
370,Dr. Megan Williams,All,Auto,12000000
71,Dr. Bonnie Wilson,All,Auto,12000000
112,Professor Karen Potter,All,Auto,11200000
235,Professor Fiona Thompson,All,Auto,11200000
281,Mr. Xander Jones,All,Auto,11200000
45,Dr. Yvonne Potter,All,Auto,11200000
569,Dr. Nathan Miller,All,Auto,11200000
433,Dr. James Smith,All,Auto,11200000
488,Ms. Wendy Brown,All,Auto,11200000
483,Professor Patrick Smith,All,Auto,11200000
492,Ms. Henry Thompson,All,Auto,11200000
19,Ms. Aaron Brown,All,Auto,10800000
104,Ms. Olivia Williams,All,Auto,10400000
150,Mrs. Edward Martin,All,Auto,10400000
242,Ms. James Williams,All,Auto,10400000
436,Ms. Catherine Jackson,All,Auto,10400000
76,Dr. Samuel Jackson,All,Auto,10400000
531,Professor Fiona Thomas,All,Auto,10400000
502,Ms. Patrick Johnson,All,Auto,10000000
67,Dr. Brian Kirby,All,Auto,9600000
28,Ms. Nathan Garcia,All,Auto,9600000
275,Mr. Gwendolyn Taylor,All,Auto,9600000
510,Ms. James Dillon,All,Auto,9600000
499,Ms. Catherine Miller,All,Auto,9600000
61,Mr. Rachel Davis,All,Auto,9200000
277,Ms. Gwendolyn Taylor,All,Auto,9200000
340,Professor Patrick Taylor,All,Auto,9200000
308,Mrs. Karen Tyson,All,Auto,9200000
430,Mr. Bonnie Harris,All,Auto,8800000
75,Professor Fiona Tyson,All,Auto,8800000
384,Ms. Allison Jackson,All,Auto,8800000
404,Ms. Olivia Smith,All,Auto,8800000
140,Mrs. Aaron Thomas,All,Auto,8800000
328,Mrs. Patrick Anderson,All,Auto,8400000
263,Dr. Fiona Jones,All,Auto,8400000
537,Mr. Tina Kirby,All,Auto,8400000
264,Mrs. Victor Potter,All,Auto,8400000
429,Professor Edward Thompson,All,Auto,8000000
246,Ms. Ursula Miller,All,Auto,8000000
332,Ms. Samuel Brown,All,Auto,8000000
517,Mr. Nathan Garcia,All,Auto,8000000
97,Ms. Victor Davis,All,Auto,7200000
310,Mrs. Diana Kirby,All,Auto,7200000
247,Mrs. Fiona White,All,Auto,7200000
197,Mrs. Irene Johnson,All,Auto,7200000
16,Ms. Victor Potter,All,Auto,7200000
557,Professor Catherine Potter,All,Auto,7200000
87,Mrs. Diana Potter,All,Auto,7200000
368,Professor Brian Johnson,All,Auto,7200000
4,Mrs. Irene Jones,All,Auto,7200000
316,Dr. Liam Jackson,All,Auto,6800000
286,Mr. Victor Martin,All,Auto,6400000
255,Ms. Ursula Anderson,All,Auto,6400000
18,Mrs. Edward Thomas,All,Auto,6400000
274,Dr. Bonnie Potter,All,Auto,6400000
361,Mr. Bonnie Davis,All,Auto,6400000
469,Ms. Tina Jackson,All,Auto,6400000
526,Professor Victor Miller,All,Auto,6400000
477,Professor Allison Williams,All,Auto,6000000
186,Ms. Megan Williams,All,Auto,6000000
21,Professor Irene Thompson,All,Auto,6000000
240,Mrs. James Anderson,All,Auto,6000000
294,Mrs. Gwendolyn Kirby,All,Auto,5600000
485,Mrs. Nathan Tyson,All,Auto,5600000
410,Professor Gwendolyn White,All,Auto,5600000
8,Mrs. Ursula Thomas,All,Auto,4800000
552,Mr. Tina Garcia,All,Auto,4800000
299,Mrs. Megan Dillon,All,Auto,4800000
196,Mr. James Miller,All,Auto,4800000
145,Dr. Quinn Tyson,All,Auto,4800000
54,Mrs. Rachel Jones,All,Auto,4400000
339,Mr. Olivia Williams,All,Auto,4000000
478,Mrs. Liam Johnson,All,Auto,4000000
81,Professor Yvonne Harris,All,Auto,3600000
245,Mr. Karen Martin,All,Auto,3200000
262,Professor Wendy Williams,All,Auto,3200000
86,Ms. Wendy Harris,All,Auto,2800000
494,Mrs. James Harris,All,Auto,2800000
347,Mr. Gwendolyn Martin,All,Auto,2400000
128,Ms. Allison Garcia,All,Auto,2400000
40,Ms. Gwendolyn Dillon,All,Auto,2400000
66,Dr. Karen Potter,All,Auto,2400000
85,Ms. James Kirby,All,Auto,2400000
371,Ms. Liam Miller,All,Auto,1600000
94,Mr. Samuel Tyson,All,Auto,1200000
395,Professor Wendy Thomas,All,Auto,800000
