Customer_ID,Customer_Name,Region,Total_Policy_Amt
396,Mr. Patrick Johnson,All,20400000
202,Ms. Olivia Johnson,All,20400000
549,Dr. Allison Jones,All,20400000
586,Mrs. Patrick Potter,All,20400000
131,Dr. Diana Davis,All,20000000
647,Mrs. Henry Kirby,All,20000000
660,Dr. Olivia Garcia,All,20000000
120,Professor Fiona Williams,All,20000000
60,Mr. Edward Dillon,All,20000000
172,Professor Olivia Thompson,All,20000000
589,Professor Zachary Smith,All,20000000
380,Mr. Olivia Wilson,All,20000000
117,Mrs. Tina Williams,All,20000000
631,Ms. Edward Jones,All,20000000
648,Professor Ursula Jones,All,20000000
201,Ms. Victor Anderson,All,20000000
444,Ms. Liam Davis,All,20000000
354,Professor Gwendolyn Thompson,All,20000000
307,Dr. Karen Tyson,All,20000000
324,Professor Irene Martin,All,20000000
498,Professor Quinn Williams,All,20000000
334,Mrs. Olivia Brown,All,20000000
367,Mrs. Brian Smith,All,20000000
448,Mrs. Patrick Taylor,All,20000000
692,Mrs. Karen Miller,All,19600000
30,Mr. Gwendolyn Jackson,All,19600000
105,Mrs. Nathan Johnson,All,19200000
171,Mr. Bonnie Harris,All,19200000
311,Mr. Olivia Anderson,All,19200000
5,Professor Brian Thomas,All,19200000
560,Mr. Henry Anderson,All,19200000
495,Ms. Bonnie White,All,19200000
208,Dr. Tina Anderson,All,19200000
249,Dr. Brian Thompson,All,19200000
303,Professor Yvonne Williams,All,19200000
450,Dr. Megan White,All,19200000
439,Ms. Irene Dillon,All,18800000
408,Dr. Karen Garcia,All,18800000
161,Professor Charles Taylor,All,18400000
603,Mrs. Wendy Tyson,All,18400000
100,Ms. Catherine White,All,18400000
610,Professor Tina Thomas,All,18400000
618,Dr. Rachel Potter,All,18400000
293,Professor Victor Wilson,All,18400000
350,Mrs. Yvonne Jones,All,18400000
415,Mr. Fiona Harris,All,18400000
43,Ms. Rachel Johnson,All,18400000
378,Mrs. Henry Williams,All,18400000
427,Professor Irene White,All,18000000
312,Dr. Irene Jones,All,18000000
24,Mr. Henry Williams,All,18000000
668,Professor Brian Martin,All,18000000
189,Mrs. Yvonne Anderson,All,18000000
157,Dr. James Kirby,All,17600000
501,Dr. Zachary Brown,All,17600000
543,Professor Wendy Smith,All,17600000
144,Mr. Tina Jones,All,17600000
616,Mr. Quinn Johnson,All,17600000
57,Professor Quinn Dillon,All,17600000
479,Mrs. Diana Brown,All,17600000
555,Dr. Tina Miller,All,17600000
327,Mrs. Nathan Tyson,All,17200000
524,Professor Fiona Garcia,All,17200000
373,Mr. Rachel Thomas,All,17200000
74,Dr. Henry Jones,All,16800000
674,Mr. Patrick Jones,All,16800000
101,Mrs. Samuel Johnson,All,16800000
184,Ms. Charles Garcia,All,16800000
587,Mr. Edward Anderson,All,16800000
198,Dr. Diana Thomas,All,16800000
487,Ms. Gwendolyn Tyson,All,16800000
500,Dr. Diana Thomas,All,16800000
401,Mrs. James Anderson,All,16800000
26,Ms. Diana White,All,16800000
391,Mr. Irene Garcia,All,16800000
544,Mr. Nathan Thomas,All,16400000
617,Professor Xander Davis,All,16400000
385,Dr. Gwendolyn Dillon,All,16400000
113,Mr. Henry White,All,16400000
1,Mrs. Aaron Wilson,All,16400000
219,Professor Catherine Dillon,All,16400000
271,Mrs. Rachel Kirby,All,16400000
23,Mr. Charles Taylor,All,16400000
225,Dr. Catherine Anderson,All,16400000
226,Ms. Gwendolyn Kirby,All,16000000
36,Mr. Karen Williams,All,16000000
457,Mr. Ursula Smith,All,16000000
143,Dr. Patrick Jackson,All,16000000
645,Mr. Quinn Wilson,All,16000000
665,Ms. Yvonne Garcia,All,16000000
409,Mrs. Nathan Dillon,All,16000000
490,Mrs. Gwendolyn Wilson,All,16000000
204,Ms. Henry Dillon,All,16000000
207,Professor Quinn Jackson,All,16000000
389,Ms. Bonnie Williams,All,16000000
110,Ms. Brian Williams,All,16000000
387,Mrs. Fiona Thomas,All,16000000
657,Professor Megan Tyson,All,16000000
641,Ms. Megan Wilson,All,16000000
633,Professor Patrick Jackson,All,16000000
32,Mr. Samuel Potter,All,16000000
185,Ms. Allison Harris,All,16000000
174,Ms. Rachel Jackson,All,16000000
68,Professor Rachel Potter,All,16000000
590,Dr. Henry Garcia,All,16000000
167,Ms. Brian Dillon,All,16000000
10,Mrs. Ursula Potter,All,15600000
206,Ms. Karen Dillon,All,15600000
126,Mr. Victor Jones,All,15600000
623,Mr. Catherine Anderson,All,15600000
139,Mrs. Brian Jones,All,15600000
236,Ms. Aaron Harris,All,15600000
666,Dr. Yvonne Johnson,All,15600000
320,Mrs. Victor Garcia,All,15200000
596,Mr. Liam Harris,All,15200000
595,Mr. Charles Jones,All,15200000
442,Mrs. Quinn Anderson,All,15200000
244,Professor Henry Johnson,All,15200000
654,Mrs. Fiona Miller,All,15200000
73,Mr. Henry Dillon,All,15200000
386,Professor Bonnie Garcia,All,14800000
114,Professor Bonnie Jones,All,14800000
594,Ms. Fiona Brown,All,14800000
518,Mrs. Allison Thomas,All,14800000
106,Professor Gwendolyn Wilson,All,14400000
570,Professor Samuel Jones,All,14400000
481,Mrs. Irene Tyson,All,14400000
130,Dr. Rachel Brown,All,14400000
250,Mrs. Ursula Wilson,All,14400000
366,Ms. Liam Garcia,All,14400000
489,Professor Zachary Smith,All,14400000
173,Professor Yvonne Taylor,All,14400000
88,Ms. Allison Miller,All,14400000
195,Dr. Allison Harris,All,14000000
278,Mrs. Henry Tyson,All,14000000
576,Dr. Victor Thompson,All,14000000
591,Ms. Quinn Tyson,All,14000000
322,Dr. Olivia Kirby,All,14000000
84,Dr. Ursula Martin,All,14000000
425,Mr. Wendy Davis,All,14000000
376,Dr. Quinn Jones,All,14000000
505,Ms. Bonnie Garcia,All,14000000
407,Mr. Olivia Williams,All,14000000
508,Professor Zachary Anderson,All,14000000
575,Professor Diana Thomas,All,13600000
338,Dr. Yvonne Jackson,All,13600000
205,Dr. Liam Thomas,All,13600000
193,Ms. Ursula Jackson,All,13600000
91,Dr. Bonnie Wilson,All,13600000
124,Ms. Samuel Anderson,All,13600000
491,Mr. Gwendolyn Potter,All,13600000
165,Ms. Catherine Thomas,All,13600000
304,Ms. Edward Wilson,All,13600000
475,Mr. Allison Davis,All,13600000
291,Mrs. Ursula Smith,All,13200000
346,Ms. Megan Dillon,All,13200000
561,Mrs. Karen Thomas,All,13200000
584,Dr. Brian Taylor,All,13200000
190,Dr. Charles Brown,All,13200000
416,Mrs. Samuel Johnson,All,13200000
539,Professor Catherine Potter,All,12800000
565,Professor Megan Davis,All,12800000
572,Professor Catherine Dillon,All,12800000
93,Dr. Yvonne Thompson,All,12800000
17,Professor Aaron Wilson,All,12800000
213,Mr. Karen Dillon,All,12800000
522,Professor Megan Davis,All,12800000
163,Mrs. Nathan Brown,All,12800000
503,Mrs. Ursula Williams,All,12800000
486,Professor Edward White,All,12800000
358,Professor Zachary Jackson,All,12800000
14,Mr. Gwendolyn Tyson,All,12800000
276,Professor Irene Jackson,All,12800000
453,Ms. Charles Johnson,All,12800000
446,Professor Brian Jackson,All,12800000
507,Mr. Ursula Tyson,All,12800000
644,Mr. Xander Garcia,All,12800000
82,Ms. Patrick Miller,All,12800000
295,Ms. Victor Potter,All,12800000
13,Dr. Catherine Kirby,All,12800000
111,Professor Allison Kirby,All,12400000
349,Mr. Megan Williams,All,12400000
463,Mrs. Catherine Wilson,All,12400000
348,Mr. Aaron Taylor,All,12400000
288,Mrs. Quinn Jones,All,12400000
209,Mr. Catherine Harris,All,12400000
142,Mrs. Olivia Thompson,All,12400000
49,Dr. Ursula Thompson,All,12400000
607,Mrs. Rachel Martin,All,12400000
317,Mr. James White,All,12400000
535,Professor Gwendolyn Harris,All,12400000
365,Mr. Wendy Kirby,All,12000000
35,Mrs. Gwendolyn Taylor,All,12000000
414,Mr. Catherine Wilson,All,12000000
370,Dr. Megan Williams,All,12000000
388,Professor Tina Tyson,All,12000000
154,Ms. Karen Garcia,All,12000000
357,Mr. Yvonne Williams,All,12000000
151,Professor Zachary White,All,12000000
608,Professor Brian Tyson,All,12000000
79,Mrs. Ursula Harris,All,12000000
38,Professor Tina Dillon,All,12000000
115,Dr. Xander Jones,All,12000000
71,Dr. Bonnie Wilson,All,12000000
403,Mrs. Xander Williams,All,12000000
356,Dr. Karen Jones,All,12000000
513,Professor Diana Garcia,All,12000000
336,Ms. Karen Anderson,All,12000000
55,Mr. Megan Potter,All,12000000
90,Professor Brian Smith,All,12000000
168,Professor Zachary Wilson,All,12000000
667,Professor Allison Kirby,All,12000000
515,Mrs. Victor Dillon,All,12000000
533,Mrs. Henry Johnson,All,12000000
260,Dr. Quinn White,All,11600000
597,Dr. Charles Potter,All,11600000
493,Mrs. Aaron Wilson,All,11600000
483,Professor Patrick Smith,All,11200000
488,Ms. Wendy Brown,All,11200000
352,Professor Edward Brown,All,11200000
52,Professor Aaron Thompson,All,11200000
680,Ms. Zachary Williams,All,11200000
112,Professor Karen Potter,All,11200000
428,Ms. Yvonne Thompson,All,11200000
636,Mrs. Olivia Johnson,All,11200000
234,Mr. Samuel Anderson,All,11200000
492,Ms. Henry Thompson,All,11200000
281,Mr. Xander Jones,All,11200000
569,Dr. Nathan Miller,All,11200000
433,Dr. James Smith,All,11200000
235,Professor Fiona Thompson,All,11200000
45,Dr. Yvonne Potter,All,11200000
372,Professor Yvonne Miller,All,10800000
19,Ms. Aaron Brown,All,10800000
528,Dr. Megan Dillon,All,10800000
77,Mr. Zachary Kirby,All,10800000
436,Ms. Catherine Jackson,All,10400000
150,Mrs. Edward Martin,All,10400000
223,Mrs. Irene Harris,All,10400000
242,Ms. James Williams,All,10400000
379,Ms. Olivia Harris,All,10400000
393,Ms. Victor Davis,All,10400000
70,Mr. Samuel Kirby,All,10400000
638,Mr. Olivia Martin,All,10400000
134,Dr. Victor Potter,All,10400000
243,Ms. Gwendolyn Potter,All,10400000
462,Mr. Aaron Williams,All,10400000
344,Mr. Olivia Harris,All,10400000
218,Ms. Ursula Kirby,All,10400000
284,Mr. Allison Williams,All,10400000
531,Professor Fiona Thomas,All,10400000
536,Mrs. Zachary Kirby,All,10400000
104,Ms. Olivia Williams,All,10400000
76,Dr. Samuel Jackson,All,10400000
689,Mrs. Yvonne Taylor,All,10400000
141,Professor Xander White,All,10000000
41,Mr. Allison Wilson,All,10000000
502,Ms. Patrick Johnson,All,10000000
523,Mr. Liam Thompson,All,10000000
582,Mrs. Irene Tyson,All,10000000
551,Dr. Ursula Martin,All,10000000
421,Ms. Rachel Taylor,All,10000000
259,Professor Diana Miller,All,10000000
468,Mr. Brian Garcia,All,10000000
176,Professor Allison Jones,All,9600000
530,Mrs. Olivia Garcia,All,9600000
162,Mr. Diana Jackson,All,9600000
309,Dr. Xander Dillon,All,9600000
510,Ms. James Dillon,All,9600000
275,Mr. Gwendolyn Taylor,All,9600000
612,Professor Diana Brown,All,9600000
257,Mr. Victor Tyson,All,9600000
649,Professor Nathan Jones,All,9600000
699,Ms. Megan Garcia,All,9600000
399,Ms. Samuel Brown,All,9600000
119,Mrs. Liam White,All,9600000
27,Ms. Bonnie Jackson,All,9600000
693,Ms. Edward Garcia,All,9600000
669,Dr. Olivia White,All,9600000
351,Mrs. Liam Miller,All,9600000
499,Ms. Catherine Miller,All,9600000
28,Ms. Nathan Garcia,All,9600000
432,Professor Brian Martin,All,9600000
67,Dr. Brian Kirby,All,9600000
182,Dr. Yvonne Anderson,All,9200000
308,Mrs. Karen Tyson,All,9200000
129,Dr. Edward Davis,All,9200000
473,Professor Ursula Garcia,All,9200000
127,Ms. Charles Anderson,All,9200000
61,Mr. Rachel Davis,All,9200000
340,Professor Patrick Taylor,All,9200000
277,Ms. Gwendolyn Taylor,All,9200000
140,Mrs. Aaron Thomas,All,8800000
430,Mr. Bonnie Harris,All,8800000
44,Ms. Liam Johnson,All,8800000
375,Professor Bonnie Davis,All,8800000
192,Professor Charles Thompson,All,8800000
75,Professor Fiona Tyson,All,8800000
404,Ms. Olivia Smith,All,8800000
384,Ms. Allison Jackson,All,8800000
123,Mrs. Brian Anderson,All,8800000
20,Mr. Xander Martin,All,8400000
328,Mrs. Patrick Anderson,All,8400000
188,Mr. Tina Smith,All,8400000
263,Dr. Fiona Jones,All,8400000
264,Mrs. Victor Potter,All,8400000
537,Mr. Tina Kirby,All,8400000
574,Ms. Xander Taylor,All,8000000
688,Dr. Quinn Smith,All,8000000
504,Mrs. Ursula Williams,All,8000000
149,Dr. Nathan Thomas,All,8000000
222,Professor Edward Thomas,All,8000000
89,Mr. Irene Johnson,All,8000000
517,Mr. Nathan Garcia,All,8000000
360,Professor Zachary Jones,All,8000000
2,Mr. Bonnie Smith,All,8000000
482,Mr. Wendy Taylor,All,8000000
429,Professor Edward Thompson,All,8000000
267,Professor Bonnie White,All,8000000
246,Ms. Ursula Miller,All,8000000
435,Mrs. Tina Smith,All,8000000
156,Dr. Tina Harris,All,8000000
471,Professor Wendy Thompson,All,8000000
65,Dr. Edward Davis,All,8000000
258,Professor Allison Potter,All,8000000
233,Ms. Wendy Kirby,All,8000000
155,Mr. Yvonne Tyson,All,8000000
451,Professor Aaron Taylor,All,8000000
598,Dr. Yvonne Davis,All,8000000
484,Mrs. Wendy Kirby,All,8000000
332,Ms. Samuel Brown,All,8000000
547,Dr. Xander Davis,All,8000000
72,Ms. Irene White,All,8000000
640,Professor James Miller,All,8000000
655,Mrs. Xander Miller,All,8000000
685,Mrs. Ursula Potter,All,7600000
368,Professor Brian Johnson,All,7200000
239,Ms. Victor Dillon,All,7200000
377,Ms. James Wilson,All,7200000
16,Ms. Victor Potter,All,7200000
158,Mr. Tina Johnson,All,7200000
390,Dr. Megan Thomas,All,7200000
4,Mrs. Irene Jones,All,7200000
658,Mrs. Olivia Johnson,All,7200000
697,Professor Karen Miller,All,7200000
122,Ms. Charles Harris,All,7200000
424,Ms. Bonnie Garcia,All,7200000
630,Professor Olivia Tyson,All,7200000
247,Mrs. Fiona White,All,7200000
529,Dr. Henry Thompson,All,7200000
687,Mrs. Quinn Anderson,All,7200000
224,Ms. Henry Garcia,All,7200000
175,Dr. Liam Anderson,All,7200000
480,Mr. Wendy Brown,All,7200000
310,Mrs. Diana Kirby,All,7200000
573,Mrs. Megan Brown,All,7200000
97,Ms. Victor Davis,All,7200000
87,Mrs. Diana Potter,All,7200000
557,Professor Catherine Potter,All,7200000
197,Mrs. Irene Johnson,All,7200000
472,Dr. Victor Davis,All,7200000
47,Dr. Brian Johnson,All,7200000
316,Dr. Liam Jackson,All,6800000
96,Mrs. James Johnson,All,6800000
221,Professor Gwendolyn Taylor,All,6800000
305,Ms. Irene White,All,6400000
18,Mrs. Edward Thomas,All,6400000
526,Professor Victor Miller,All,6400000
286,Mr. Victor Martin,All,6400000
567,Dr. Victor Miller,All,6400000
34,Mrs. Diana Kirby,All,6400000
212,Dr. Charles Anderson,All,6400000
678,Mr. Aaron Harris,All,6400000
335,Mrs. Tina Jones,All,6400000
230,Professor Liam Taylor,All,6400000
509,Professor Patrick Garcia,All,6400000
211,Mr. Henry Martin,All,6400000
469,Ms. Tina Jackson,All,6400000
460,Professor Patrick Miller,All,6400000
497,Professor Patrick Kirby,All,6400000
671,Professor Victor Kirby,All,6400000
255,Ms. Ursula Anderson,All,6400000
342,Ms. Allison Anderson,All,6400000
643,Mr. Rachel Smith,All,6400000
274,Dr. Bonnie Potter,All,6400000
125,Ms. Tina Martin,All,6400000
116,Ms. Ursula Williams,All,6400000
256,Ms. Xander Tyson,All,6400000
361,Mr. Bonnie Davis,All,6400000
261,Mr. Megan Wilson,All,6000000
132,Ms. Ursula Harris,All,6000000
394,Mrs. Allison Garcia,All,6000000
402,Professor Tina Taylor,All,6000000
456,Ms. Megan Dillon,All,6000000
454,Ms. Catherine Martin,All,6000000
477,Professor Allison Williams,All,6000000
159,Mr. Karen Brown,All,6000000
578,Ms. Karen Davis,All,6000000
550,Mr. Charles Tyson,All,6000000
186,Ms. Megan Williams,All,6000000
21,Professor Irene Thompson,All,6000000
228,Dr. Liam Johnson,All,6000000
285,Mr. Wendy Jones,All,6000000
280,Ms. Diana Martin,All,6000000
675,Mr. Tina Johnson,All,6000000
69,Ms. Aaron Jackson,All,6000000
621,Professor Allison Taylor,All,6000000
619,Mrs. Catherine Brown,All,6000000
240,Mrs. James Anderson,All,6000000
146,Dr. Olivia Davis,All,6000000
333,Mrs. Nathan Brown,All,6000000
279,Ms. Rachel Dillon,All,6000000
137,Professor Charles Miller,All,6000000
178,Ms. Edward Williams,All,6000000
294,Mrs. Gwendolyn Kirby,All,5600000
614,Mrs. Bonnie Thomas,All,5600000
419,Mrs. Fiona Miller,All,5600000
405,Mr. Xander Smith,All,5600000
80,Ms. Nathan Kirby,All,5600000
64,Mrs. Wendy Anderson,All,5600000
410,Professor Gwendolyn White,All,5600000
485,Mrs. Nathan Tyson,All,5600000
152,Ms. Wendy Anderson,All,5600000
571,Mrs. Gwendolyn Jones,All,5600000
438,Dr. Victor Brown,All,5200000
606,Ms. Wendy Jackson,All,5200000
227,Mr. Rachel Smith,All,5200000
676,Ms. Tina Taylor,All,5200000
318,Professor Zachary Miller,All,5200000
8,Mrs. Ursula Thomas,All,4800000
583,Dr. Xander Anderson,All,4800000
577,Mrs. Ursula Jones,All,4800000
187,Ms. Edward Johnson,All,4800000
39,Mr. Irene Brown,All,4800000
412,Ms. Nathan Williams,All,4800000
599,Dr. Quinn Miller,All,4800000
512,Professor Gwendolyn White,All,4800000
516,Professor Olivia Taylor,All,4800000
474,Ms. Henry Taylor,All,4800000
169,Ms. Bonnie Johnson,All,4800000
196,Mr. James Miller,All,4800000
214,Mr. Nathan Thompson,All,4800000
562,Ms. Xander Davis,All,4800000
552,Mr. Tina Garcia,All,4800000
330,Dr. Wendy Harris,All,4800000
289,Dr. Charles Thomas,All,4800000
301,Professor Olivia Potter,All,4800000
682,Mrs. Patrick Johnson,All,4800000
302,Professor Rachel Williams,All,4800000
670,Mrs. Bonnie Garcia,All,4800000
299,Mrs. Megan Dillon,All,4800000
695,Mr. Bonnie Jones,All,4800000
145,Dr. Quinn Tyson,All,4800000
437,Mr. Samuel Brown,All,4800000
615,Mr. Olivia Dillon,All,4800000
651,Mr. Edward Miller,All,4800000
420,Mrs. Allison Dillon,All,4800000
398,Mrs. Edward Kirby,All,4800000
54,Mrs. Rachel Jones,All,4400000
440,Mr. Victor Jones,All,4400000
164,Ms. Brian Anderson,All,4400000
686,Mr. Irene White,All,4000000
362,Mr. Victor Garcia,All,4000000
306,Mrs. Tina Tyson,All,4000000
662,Dr. Nathan Taylor,All,4000000
29,Mr. Ursula Potter,All,4000000
626,Mr. Samuel Miller,All,4000000
422,Mrs. Nathan Jones,All,4000000
447,Professor Karen White,All,4000000
7,Ms. Victor Davis,All,4000000
181,Ms. Rachel Davis,All,4000000
353,Mr. Irene Dillon,All,4000000
639,Mr. Tina Jones,All,4000000
642,Mr. Megan Thompson,All,4000000
478,Mrs. Liam Johnson,All,4000000
50,Mr. Samuel Wilson,All,4000000
220,Mr. James Harris,All,4000000
51,Mr. Tina Thompson,All,4000000
166,Mrs. Fiona Tyson,All,4000000
681,Professor Karen Jackson,All,4000000
696,Dr. Charles White,All,4000000
9,Mrs. Tina Dillon,All,4000000
283,Ms. Olivia Garcia,All,4000000
339,Mr. Olivia Williams,All,4000000
467,Dr. Olivia Wilson,All,4000000
464,Mr. Allison Garcia,All,4000000
81,Professor Yvonne Harris,All,3600000
514,Ms. Victor Williams,All,3600000
622,Dr. Olivia Harris,All,3600000
466,Mr. Tina Wilson,All,3600000
593,Dr. Wendy Tyson,All,3200000
179,Mrs. Tina Jackson,All,3200000
262,Professor Wendy Williams,All,3200000
326,Mrs. Karen Brown,All,3200000
677,Professor Patrick Garcia,All,3200000
3,Mister. Bonnie Potter,All,3200000
245,Mr. Karen Martin,All,3200000
11,Mrs. Irene Williams,All,3200000
556,Professor Quinn Brown,All,3200000
646,Dr. Edward Taylor,All,3200000
566,Dr. Megan Garcia,All,3200000
215,Ms. Karen Davis,All,3200000
411,Professor Bonnie Jackson,All,3200000
527,Mr. Ursula Taylor,All,3200000
253,Ms. Olivia Wilson,All,3200000
632,Professor Charles Jackson,All,3200000
506,Dr. Olivia Dillon,All,3200000
601,Mrs. Liam Johnson,All,3200000
656,Mrs. Brian Harris,All,3200000
33,Mr. Bonnie Thompson,All,3200000
138,Mrs. Charles Potter,All,3200000
86,Ms. Wendy Harris,All,2800000
98,Mr. Irene Jones,All,2800000
452,Ms. Wendy Thomas,All,2800000
494,Mrs. James Harris,All,2800000
109,Dr. Nathan Martin,All,2400000
6,Ms. Charles Potter,All,2400000
546,Professor Irene Anderson,All,2400000
40,Ms. Gwendolyn Dillon,All,2400000
325,Dr. Liam Thomas,All,2400000
269,Mrs. Yvonne Johnson,All,2400000
25,Professor Rachel Jones,All,2400000
418,Dr. James Williams,All,2400000
48,Mrs. Henry Smith,All,2400000
319,Ms. Karen Williams,All,2400000
329,Mrs. Aaron Martin,All,2400000
347,Mr. Gwendolyn Martin,All,2400000
337,Mrs. Irene Dillon,All,2400000
128,Ms. Allison Garcia,All,2400000
292,Mr. Catherine Thompson,All,2400000
314,Ms. Yvonne Davis,All,2400000
85,Ms. James Kirby,All,2400000
383,Mrs. Olivia Brown,All,2400000
381,Mrs. Allison Taylor,All,2400000
66,Dr. Karen Potter,All,2400000
231,Mrs. Bonnie Johnson,All,2000000
652,Mrs. Tina Davis,All,2000000
313,Dr. Rachel Thompson,All,2000000
519,Mr. Patrick Potter,All,2000000
635,Ms. Gwendolyn Taylor,All,2000000
323,Professor Samuel Brown,All,1600000
382,Ms. Victor Anderson,All,1600000
265,Mr. Xander Davis,All,1600000
136,Ms. Rachel Dillon,All,1600000
371,Ms. Liam Miller,All,1600000
458,Mrs. Patrick Jones,All,1600000
629,Professor Karen Potter,All,1600000
248,Professor Aaron Anderson,All,1600000
620,Dr. Rachel Tyson,All,1600000
423,Ms. Brian Potter,All,1600000
12,Dr. Catherine Dillon,All,1600000
315,Mr. Zachary White,All,1600000
413,Mr. Ursula Anderson,All,1600000
659,Mr. Quinn Dillon,All,1600000
133,Mr. Patrick Brown,All,1600000
663,Ms. Charles Wilson,All,1600000
266,Mrs. Allison Davis,All,1200000
579,Ms. Irene Harris,All,1200000
94,Mr. Samuel Tyson,All,1200000
525,Dr. Bonnie Davis,All,1200000
679,Mrs. Liam Potter,All,1200000
252,Dr. Fiona Jones,All,1200000
611,Professor Quinn Martin,All,1200000
135,Mrs. Bonnie Thomas,All,1200000
345,Mr. Brian Wilson,All,1200000
